"Name of grant recipient","Known as","Funding area/Panel","Grant category","Amount funded","Decision date","Closing date","State","Country","Federal electorate"
"Zoric, Simon","","Visual Arts Section","New Work Early Career","$10,000.00","11-JUL-2012","16-APR-2012","VIC","AUSTRALIA","HOTHAM"
"atkins, peter","","Visual Arts Section","New Work Established","$20,000.00","11-JUL-2012","18-APR-2012","VIC","AUSTRALIA","WILLS"
"Bartholomew, Julie","","Visual Arts Section","New Work Established","$20,000.00","11-JUL-2012","18-APR-2012","NSW","AUSTRALIA","WENTWORTH"
"Bartley, Roseanne","","Visual Arts Section","New Work Established","$20,000.00","11-JUL-2012","18-APR-2012","VIC","AUSTRALIA","BATMAN"
"Beaubois, Denis","","Visual Arts Section","New Work Established","$20,000.00","11-JUL-2012","18-APR-2012","NSW","AUSTRALIA","GRAYNDLER"
"Bird, Stephen","","Visual Arts Section","New Work Established","$20,000.00","11-JUL-2012","18-APR-2012","NSW","AUSTRALIA","KINGSFORD SMITH"
"Carroli, Linda","","Visual Arts Section","New Work Established","$20,000.00","11-JUL-2012","18-APR-2012","QLD","AUSTRALIA","LILLEY"
"Claire Healy & Sean Cordeiro","","Visual Arts Section","New Work Established","$20,000.00","11-JUL-2012","18-APR-2012","NSW","AUSTRALIA","MACQUARIE"
"DAMP","","Visual Arts Section","New Work Established","$20,000.00","11-JUL-2012","18-APR-2012","VIC","AUSTRALIA","MELBOURNE"
"Del Favero, Dennis","","Visual Arts Section","New Work Established","$20,000.00","11-JUL-2012","18-APR-2012","NSW","AUSTRALIA","GRAYNDLER"
"Draper, Lynda","","Visual Arts Section","New Work Established","$20,000.00","11-JUL-2012","18-APR-2012","NSW","AUSTRALIA","CUNNINGHAM"
"Fereday, Susan","","Visual Arts Section","New Work Established","$20,000.00","11-JUL-2012","18-APR-2012","SA","AUSTRALIA","MAYO"
"FERRAN, ANNE","","Visual Arts Section","New Work Established","$20,000.00","11-JUL-2012","18-APR-2012","NSW","AUSTRALIA","WENTWORTH"
"Ford, Juan","","Visual Arts Section","New Work Established","$20,000.00","11-JUL-2012","18-APR-2012","VIC","AUSTRALIA","MELBOURNE"
"Gallois, Matthieu","","Visual Arts Section","New Work Established","$20,000.00","11-JUL-2012","18-APR-2012","NSW","AUSTRALIA","GRAYNDLER"
"Gawronski, Alex","","Visual Arts Section","New Work Established","$20,000.00","11-JUL-2012","18-APR-2012","NSW","AUSTRALIA","SYDNEY"
"Geczy, Adam","","Visual Arts Section","New Work Established","$20,000.00","11-JUL-2012","18-APR-2012","NSW","AUSTRALIA","GRAYNDLER"
"Gladwell, Shaun","","Visual Arts Section","New Work Established","$20,000.00","11-JUL-2012","18-APR-2012","NSW","AUSTRALIA","GILMORE"
"Goldberg, L. Michael","Michael Goldberg","Visual Arts Section","New Work Established","$20,000.00","11-JUL-2012","18-APR-2012","NSW","AUSTRALIA","SYDNEY"
"Goulder, Jon","","Visual Arts Section","New Work Established","$20,000.00","11-JUL-2012","18-APR-2012","SA","AUSTRALIA","BOOTHBY"
"Gower, Elizabeth","","Visual Arts Section","New Work Established","$20,000.00","11-JUL-2012","18-APR-2012","VIC","AUSTRALIA","MELBOURNE"
"Griggs, David","","Visual Arts Section","New Work Established","$20,000.00","11-JUL-2012","18-APR-2012","NSW","AUSTRALIA","BEROWRA"
"Jennifer McCamley and Janet Burchill","","Visual Arts Section","New Work Established","$20,000.00","11-JUL-2012","18-APR-2012","VIC","AUSTRALIA","HIGGINS"
"Johnson, Timothy","Tim Johnson","Visual Arts Section","New Work Established","$20,000.00","11-JUL-2012","18-APR-2012","NSW","AUSTRALIA","GRAYNDLER"
"Ken and Julia Yonetani","","Visual Arts Section","New Work Established","$20,000.00","11-JUL-2012","18-APR-2012","NSW","AUSTRALIA","WARRINGAH"
"Lewer, Richard","","Visual Arts Section","New Work Established","$20,000.00","11-JUL-2012","18-APR-2012","VIC","AUSTRALIA","BATMAN"
"Martin-Chew, Louise","","Visual Arts Section","New Work Established","$20,000.00","11-JUL-2012","18-APR-2012","QLD","AUSTRALIA","BOWMAN"
"Michele Barker & Anna Munster","","Visual Arts Section","New Work Established","$20,000.00","11-JUL-2012","18-APR-2012","NSW","AUSTRALIA","WENTWORTH"
"Muller, Tom","","Visual Arts Section","New Work Established","$20,000.00","11-JUL-2012","18-APR-2012","WA","AUSTRALIA","FREMANTLE"
"Neurotica","","Visual Arts Section","New Work Established","$20,000.00","11-JUL-2012","18-APR-2012","WA","AUSTRALIA","PEARCE"
"Nikou, Michelle","","Visual Arts Section","New Work Established","$20,000.00","11-JUL-2012","18-APR-2012","SA","AUSTRALIA","BOOTHBY"
"Norrie, Susan","","Visual Arts Section","New Work Established","$20,000.00","11-JUL-2012","18-APR-2012","NSW","AUSTRALIA","WENTWORTH"
"Orr, Jill","Jill Orr","Visual Arts Section","New Work Established","$20,000.00","11-JUL-2012","18-APR-2012","VIC","AUSTRALIA","JAGAJAGA"
"Papapetrou, Polixeni","","Visual Arts Section","New Work Established","$20,000.00","11-JUL-2012","18-APR-2012","VIC","AUSTRALIA","MELBOURNE"
"Radok, Stephanie","","Visual Arts Section","New Work Established","$20,000.00","11-JUL-2012","18-APR-2012","SA","AUSTRALIA","STURT"
"Rea, Kirstie","","Visual Arts Section","New Work Established","$20,000.00","11-JUL-2012","18-APR-2012","NSW","AUSTRALIA","EDEN-MONARO"
"Reynolds, Bruce","","Visual Arts Section","New Work Established","$20,000.00","11-JUL-2012","18-APR-2012","QLD","AUSTRALIA","GRIFFITH"
"ROBERTS-GOODWIN, LYNNE","","Visual Arts Section","New Work Established","$20,000.00","11-JUL-2012","18-APR-2012","NSW","AUSTRALIA","WENTWORTH"
"Silver, Tim","","Visual Arts Section","New Work Established","$20,000.00","11-JUL-2012","18-APR-2012","NY","USA",""
"Varga, Emma","","Visual Arts Section","New Work Established","$20,000.00","11-JUL-2012","18-APR-2012","NSW","AUSTRALIA","WARRINGAH"
"Whiteley, Richard","","Visual Arts Section","New Work Established","$20,000.00","11-JUL-2012","18-APR-2012","ACT","AUSTRALIA","CANBERRA"
"Asaka, Masahiro","","Visual Arts Section","New Work Mid-career","$20,000.00","11-JUL-2012","18-APR-2012","ACT","AUSTRALIA","CANBERRA"
"Beardmore, Rebecca","","Visual Arts Section","New Work Mid-career","$20,000.00","11-JUL-2012","18-APR-2012","NSW","AUSTRALIA","GRAYNDLER"
"Behm, Anthea","","Visual Arts Section","New Work Mid-career","$20,000.00","11-JUL-2012","18-APR-2012","FL","USA",""
"Brown Council","","Visual Arts Section","New Work Mid-career","$20,000.00","11-JUL-2012","18-APR-2012","NSW","AUSTRALIA","WENTWORTH"
"Davies, Michaela","","Visual Arts Section","New Work Mid-career","$20,000.00","11-JUL-2012","18-APR-2012","NSW","AUSTRALIA","SYDNEY"
"de Vietri, Gabrielle","","Visual Arts Section","New Work Mid-career","$20,000.00","11-JUL-2012","18-APR-2012","VIC","AUSTRALIA","MELBOURNE"
"Douglas, Melanie","Mel Douglas","Visual Arts Section","New Work Mid-career","$20,000.00","11-JUL-2012","18-APR-2012","ACT","AUSTRALIA","FENNER"
"Fairclough, Wendy","","Visual Arts Section","New Work Mid-career","$20,000.00","11-JUL-2012","18-APR-2012","SA","AUSTRALIA","MAYO"
"Hicks, Petrina","","Visual Arts Section","New Work Mid-career","$20,000.00","11-JUL-2012","18-APR-2012","NSW","AUSTRALIA","BANKS"
"Hurle, Andrew","","Visual Arts Section","New Work Mid-career","$20,000.00","11-JUL-2012","18-APR-2012","NSW","AUSTRALIA","SYDNEY"
"Johnson, Helen","","Visual Arts Section","New Work Mid-career","$20,000.00","11-JUL-2012","18-APR-2012","VIC","AUSTRALIA","MELBOURNE"
"Just, Kate","","Visual Arts Section","New Work Mid-career","$20,000.00","11-JUL-2012","18-APR-2012","VIC","AUSTRALIA","MELBOURNE PORTS"
"Keating, Megan","","Visual Arts Section","New Work Mid-career","$20,000.00","11-JUL-2012","18-APR-2012","TAS","AUSTRALIA","DENISON"
"Knight, Paul","","Visual Arts Section","New Work Mid-career","$20,000.00","11-JUL-2012","18-APR-2012","","UK",""
"Latif Qureshi, Nusra","","Visual Arts Section","New Work Mid-career","$20,000.00","11-JUL-2012","18-APR-2012","VIC","AUSTRALIA","JAGAJAGA"
"Lee, Cinnamon","","Visual Arts Section","New Work Mid-career","$20,000.00","11-JUL-2012","18-APR-2012","NSW","AUSTRALIA","SYDNEY"
"Loxley, Anne","","Visual Arts Section","New Work Mid-career","$20,000.00","11-JUL-2012","18-APR-2012","NSW","AUSTRALIA","BARTON"
"mangan, nicholas","","Visual Arts Section","New Work Mid-career","$20,000.00","11-JUL-2012","18-APR-2012","VIC","AUSTRALIA","MELBOURNE"
"McKenna, Moya","","Visual Arts Section","New Work Mid-career","$20,000.00","11-JUL-2012","18-APR-2012","VIC","AUSTRALIA","MELBOURNE"
"McManus, Pip","","Visual Arts Section","New Work Mid-career","$20,000.00","11-JUL-2012","18-APR-2012","NT","AUSTRALIA","LINGIARI"
"McMillan, Todd","","Visual Arts Section","New Work Mid-career","$20,000.00","11-JUL-2012","18-APR-2012","NSW","AUSTRALIA","MACQUARIE"
"Meijers and Walsh","","Visual Arts Section","New Work Mid-career","$20,000.00","11-JUL-2012","18-APR-2012","TAS","AUSTRALIA","DENISON"
"Miles, Scott","","Visual Arts Section","New Work Mid-career","$20,000.00","11-JUL-2012","18-APR-2012","","UK",""
"Netto, Vanila (Rita)","","Visual Arts Section","New Work Mid-career","$20,000.00","11-JUL-2012","18-APR-2012","NSW","AUSTRALIA","SYDNEY"
"Patterson, Kenzee","","Visual Arts Section","New Work Mid-career","$20,000.00","11-JUL-2012","18-APR-2012","NSW","AUSTRALIA","SYDNEY"
"Pynor, Helen","","Visual Arts Section","New Work Mid-career","$20,000.00","11-JUL-2012","18-APR-2012","NSW","AUSTRALIA","BENNELONG"
"ross, joan","","Visual Arts Section","New Work Mid-career","$20,000.00","11-JUL-2012","18-APR-2012","NSW","AUSTRALIA","MACQUARIE"
"Seymour, Margaret","","Visual Arts Section","New Work Mid-career","$20,000.00","11-JUL-2012","18-APR-2012","NSW","AUSTRALIA","MACKELLAR"
"Smith, Martin","","Visual Arts Section","New Work Mid-career","$20,000.00","11-JUL-2012","18-APR-2012","QLD","AUSTRALIA","BRISBANE"
"Wellm, Irene","","Visual Arts Section","New Work Mid-career","$20,000.00","11-JUL-2012","18-APR-2012","VIC","AUSTRALIA","WILLS"
"Wyman, Jemima","","Visual Arts Section","New Work Mid-career","$20,000.00","11-JUL-2012","18-APR-2012","QLD","AUSTRALIA","MORETON"
"Art on the Move (t/u National Exhibitions Touring Structure for WA Inc)","","Arts Organisations Division","Visual Arts Key Organisations","$275,740.00","10-JUL-2012","01-JUN-2012","WA","AUSTRALIA","FREMANTLE"
"Artback NT Inc","formerly Artback NT Arts Development and Touring Inc","Arts Organisations Division","Visual Arts Key Organisations","$402,006.00","10-JUL-2012","01-JUN-2012","NT","AUSTRALIA","SOLOMON"
"Australian Experimental Art Foundation Incorporated","","Arts Organisations Division","Visual Arts Key Organisations","$887,090.00","10-JUL-2012","01-JUN-2012","SA","AUSTRALIA","ADELAIDE"
"Australian Network for Art and Technology (ANAT)","","Arts Organisations Division","Visual Arts Key Organisations","$1,257,528.00","10-JUL-2012","01-JUN-2012","SA","AUSTRALIA","ADELAIDE"
"Guildhouse Inc","Guildhouse","Arts Organisations Division","Visual Arts Key Organisations","$282,266.00","10-JUL-2012","01-JUN-2012","SA","AUSTRALIA","ADELAIDE"
"Amy Spiers and Catherine Ryan","","Inter-Arts Office","Artist Initiated Residency","$20,000.00","02-JUL-2012","01-MAY-2012","VIC","AUSTRALIA","WILLS"
"DOUGLAS, JOHN A","","Inter-Arts Office","Artist Initiated Residency","$20,000.00","02-JUL-2012","01-MAY-2012","NSW","AUSTRALIA","BARTON"
"Lerner, Sophea","","Inter-Arts Office","Artist Initiated Residency","$20,000.00","02-JUL-2012","01-MAY-2012","NSW","AUSTRALIA","CUNNINGHAM"
"The Digital Project Factory","The Project Factory","Arts Organisations Major Performing Arts","Digital engagement and research projects funding","$47,820.00","28-JUN-2012","30-JUN-2012","NSW","AUSTRALIA","SYDNEY"
"Opera Australia","","Arts Organisations Major Performing Arts","Interconnections and Development GRANTS","$29,974.00","25-JUN-2012","30-JUN-2012","NSW","AUSTRALIA","SYDNEY"
"Queensland Theatre Company","","Arts Organisations Major Performing Arts","Interconnections and Development GRANTS","$30,000.00","25-JUN-2012","30-JUN-2012","QLD","AUSTRALIA","GRIFFITH"
"Adelaide Film Festival","","Arts Organisations Major Performing Arts","Digital engagement and research projects funding","$25,000.00","22-JUN-2012","30-JUN-2012","SA","AUSTRALIA","ADELAIDE"
"Malthouse Theatre t/u Playbox Theatre Company Limited","Malthouse Theatre","Arts Organisations Major Performing Arts","Artistic vibrancy resources","$30,000.00","21-JUN-2012","30-JUN-2012","VIC","AUSTRALIA","MELBOURNE PORTS"
"SBS Subscription TV Ltd","","Arts Organisations Major Performing Arts","Digital engagement and research projects funding","$60,000.00","21-JUN-2012","30-JUN-2012","NSW","AUSTRALIA","NORTH SYDNEY"
"Queensland Theatre Company","","Arts Organisations Major Performing Arts","Strength and  Sustainability Initiatives","$20,000.00","21-JUN-2012","01-JUN-2012","QLD","AUSTRALIA","GRIFFITH"
"Australian Major Performing Arts Group","","Arts Organisations Major Performing Arts","Digital engagement and research projects funding","$5,000.00","15-JUN-2012","30-JUN-2012","NSW","AUSTRALIA","SYDNEY"
"Insite Arts International Pty Ltd ITF the Trustee for Insite Arts International Unit Trust","Insite Arts Trust","Theatre  Section","MAPS South Australia 2012-2015","$300,000.00","12-JUN-2012","28-MAY-2012","VIC","AUSTRALIA","MELBOURNE"
"Museum of Contemporary Art Limited","MCA","Visual Arts Section","Dr. Ann Lewis Lecture Initiative","$30,000.00","07-JUN-2012","01-JAN-2010","NSW","AUSTRALIA","SYDNEY"
"Bartholomew, Clare","","Arts Development Division","Going Global","$20,500.00","06-JUN-2012","30-JUN-2012","VIC","AUSTRALIA","BATMAN"
"J.A KERSTEN RICKERT & S.S KERSTEN RICKERT","One step at a time like this","Arts Development Division","Going Global","$19,950.00","06-JUN-2012","30-JUN-2012","VIC","AUSTRALIA","MELBOURNE"
"Leigh Warren and Dancers Pty Ltd","","Arts Development Division","Going Global","$20,000.00","06-JUN-2012","30-JUN-2012","SA","AUSTRALIA","ADELAIDE"
"Polytoxic Dance Theatre Company","","Arts Development Division","Going Global","$4,512.00","06-JUN-2012","30-JUN-2012","QLD","AUSTRALIA","BRISBANE"
"Performing Lines Limited","Performing Lines","Arts Development Division","IPAMS","$4,000.00","06-JUN-2012","11-MAY-2012","NSW","AUSTRALIA","SYDNEY"
"Australian Dance Theatre","ADT","Arts Development Division","IPAMS","$4,000.00","01-JUN-2012","11-MAY-2012","SA","AUSTRALIA","BOOTHBY"
"BalletLab Association Inc","","Arts Development Division","IPAMS","$4,000.00","01-JUN-2012","11-MAY-2012","VIC","AUSTRALIA","MELBOURNE PORTS"
"Chamber Made Opera Inc","Chamber Made","Arts Development Division","IPAMS","$4,000.00","01-JUN-2012","11-MAY-2012","VIC","AUSTRALIA","MELBOURNE"
"Force Majeure","","Arts Development Division","IPAMS","$4,000.00","01-JUN-2012","11-MAY-2012","NSW","AUSTRALIA","SYDNEY"
"Imaginary Ltd","Imaginary Theatre","Arts Development Division","IPAMS","$4,000.00","01-JUN-2012","11-MAY-2012","QLD","AUSTRALIA","BRISBANE"
"Insite Arts International Pty Ltd ITF the Trustee for Insite Arts International Unit Trust","Insite Arts Trust","Arts Development Division","IPAMS","$4,000.00","01-JUN-2012","11-MAY-2012","VIC","AUSTRALIA","MELBOURNE"
"Insite Arts International Pty Ltd ITF the Trustee for Insite Arts International Unit Trust","Insite Arts Trust","Arts Development Division","IPAMS","$4,000.00","01-JUN-2012","11-MAY-2012","VIC","AUSTRALIA","MELBOURNE"
"J.A KERSTEN RICKERT & S.S KERSTEN RICKERT","One step at a time like this","Arts Development Division","IPAMS","$4,000.00","01-JUN-2012","11-MAY-2012","VIC","AUSTRALIA","MELBOURNE"
"Next Wave Festival Inc","","Arts Development Division","IPAMS","$4,000.00","01-JUN-2012","11-MAY-2012","VIC","AUSTRALIA","MELBOURNE"
"Parker, Sandra","","Arts Development Division","IPAMS","$4,000.00","01-JUN-2012","11-MAY-2012","VIC","AUSTRALIA","MELBOURNE PORTS"
"Polyglot Theatre","","Arts Development Division","IPAMS","$4,000.00","01-JUN-2012","11-MAY-2012","VIC","AUSTRALIA","HIGGINS"
"Ranters Theatre Inc","","Arts Development Division","IPAMS","$4,000.00","01-JUN-2012","11-MAY-2012","VIC","AUSTRALIA","MELBOURNE PORTS"
"Ratnamohan, Ahilan","","Arts Development Division","IPAMS","$4,000.00","01-JUN-2012","11-MAY-2012","NSW","AUSTRALIA","PARRAMATTA"
"Shaun Parker & Company Ltd","","Arts Development Division","IPAMS","$4,000.00","01-JUN-2012","11-MAY-2012","NSW","AUSTRALIA","SYDNEY"
"Strut and Fret Production House","","Arts Development Division","IPAMS","$4,000.00","01-JUN-2012","11-MAY-2012","VIC","AUSTRALIA","MELBOURNE"
"Stumm, Harley","","Arts Development Division","IPAMS","$4,000.00","01-JUN-2012","11-MAY-2012","NSW","AUSTRALIA","SYDNEY"
"Topology Inc","","Arts Development Division","IPAMS","$4,000.00","01-JUN-2012","11-MAY-2012","QLD","AUSTRALIA","BRISBANE"
"Topology Inc","","Arts Development Division","IPAMS","$4,000.00","01-JUN-2012","11-MAY-2012","QLD","AUSTRALIA","BRISBANE"
"Tsarpalias, Rosalie","Rosie Dennis","Arts Development Division","IPAMS","$4,000.00","01-JUN-2012","11-MAY-2012","NSW","AUSTRALIA","GRAYNDLER"
"Version 1.0 Inc (in Liquidation)","version 1.0","Arts Development Division","IPAMS","$4,000.00","01-JUN-2012","11-MAY-2012","NSW","AUSTRALIA","SYDNEY"
"Corrugated Iron Youth Arts Inc","","Theatre  Section","Program Youth Arts Mentoring","$2,710.00","31-MAY-2012","04-MAY-2012","NT","AUSTRALIA","SOLOMON"
"Courthouse Youth Arts Centre Inc","","Theatre  Section","Program Youth Arts Mentoring","$2,400.00","31-MAY-2012","04-MAY-2012","VIC","AUSTRALIA","CORIO"
"Outback Theatre For Young People Inc","Outback Theatre","Theatre  Section","Program Youth Arts Mentoring","$1,940.00","31-MAY-2012","04-MAY-2012","NSW","AUSTRALIA","FARRER"
"Riverland Youth Theatre Inc","","Theatre  Section","Program Youth Arts Mentoring","$2,350.00","31-MAY-2012","04-MAY-2012","SA","AUSTRALIA","BARKER"
"St Martins Youth Arts Centre","","Theatre  Section","Program Youth Arts Mentoring","$1,800.00","31-MAY-2012","04-MAY-2012","VIC","AUSTRALIA","HIGGINS"
"Australian Centre for Contemporary Art","Australian Centre for Contemporary Art","Visual Arts Section","Board Funded Initiatives","$52,000.00","31-MAY-2012","30-JUN-2008","VIC","AUSTRALIA","MELBOURNE PORTS"
"Museum of Contemporary Art Limited","MCA","Visual Arts Section","Board Funded Initiatives","$52,000.00","31-MAY-2012","30-JUN-2008","NSW","AUSTRALIA","SYDNEY"
"4ARM","","Music Section","International Pathways","$9,750.00","30-MAY-2012","26-MAR-2012","VIC","AUSTRALIA","GORTON"
"Clairy Browne & The Bangin' Rackettes","","Music Section","International Pathways","$15,000.00","30-MAY-2012","26-MAR-2012","VIC","AUSTRALIA","MELBOURNE"
"DZ Deathrays","","Music Section","International Pathways","$15,000.00","30-MAY-2012","26-MAR-2012","NSW","AUSTRALIA","GRAYNDLER"
"Guthrie, Will","","Music Section","International Pathways","$5,300.00","30-MAY-2012","26-MAR-2012","","FRANCE",""
"HolyBalm","","Music Section","International Pathways","$15,000.00","30-MAY-2012","26-MAR-2012","NSW","AUSTRALIA","SYDNEY"
"I Want To Be Loved Pty Ltd t/a Eagle and the Worm","","Music Section","International Pathways","$18,905.00","30-MAY-2012","26-MAR-2012","VIC","AUSTRALIA","MELBOURNE PORTS"
"Jinja Safari","","Music Section","International Pathways","$19,935.00","30-MAY-2012","26-MAR-2012","NSW","AUSTRALIA","DOBELL"
"Knight, Peter","","Music Section","International Pathways","$9,000.00","30-MAY-2012","26-MAR-2012","VIC","AUSTRALIA","GELLIBRAND"
"Koko Entertainment","","Music Section","International Pathways","$18,650.00","30-MAY-2012","26-MAR-2012","QLD","AUSTRALIA","BRISBANE"
"Saskwatch t/u Terrific Industries Pty Ltd","Saskwatch","Music Section","International Pathways","$17,350.00","30-MAY-2012","26-MAR-2012","VIC","AUSTRALIA","WILLS"
"Spencer, Daniel","","Music Section","International Pathways","$20,000.00","30-MAY-2012","26-MAR-2012","QLD","AUSTRALIA","OXLEY"
"Strange Talk","","Music Section","International Pathways","$15,773.00","30-MAY-2012","26-MAR-2012","NSW","AUSTRALIA","SYDNEY"
"The Necks","","Music Section","International Pathways","$13,812.00","30-MAY-2012","26-MAR-2012","NSW","AUSTRALIA","WENTWORTH"
"Altmann, Chris","","Music Section","Nashville Songwriter Residency","$15,000.00","30-MAY-2012","12-MAR-2012","SA","AUSTRALIA","MAYO"
"Caudle, Travis","Travis","Music Section","Nashville Songwriter Residency","$15,000.00","30-MAY-2012","12-MAR-2012","WA","AUSTRALIA","CURTIN"
"Abela, Jacob","","Music Section","Skills & Arts Development: Artist Development","$4,022.00","30-MAY-2012","26-MAR-2012","VIC","AUSTRALIA","MELBOURNE PORTS"
"David Chesworth and Sonia Leber","","Music Section","Skills & Arts Development: Artist Development","$8,420.00","30-MAY-2012","26-MAR-2012","VIC","AUSTRALIA","BATMAN"
"Fermanis, Craig","","Music Section","Skills & Arts Development: Artist Development","$4,500.00","30-MAY-2012","26-MAR-2012","VIC","AUSTRALIA","BATMAN"
"Hsieh, Annie Hui-Hsin","","Music Section","Skills & Arts Development: Artist Development","$6,255.00","30-MAY-2012","26-MAR-2012","VIC","AUSTRALIA","MELBOURNE"
"Hyde, Joshua","","Music Section","Skills & Arts Development: Artist Development","$5,000.00","30-MAY-2012","26-MAR-2012","VIC","AUSTRALIA","BALLARAT"
"Johnson, Rebecca","","Music Section","Skills & Arts Development: Artist Development","$5,000.00","30-MAY-2012","26-MAR-2012","SA","AUSTRALIA","STURT"
"Kenny, Alexis","","Music Section","Skills & Arts Development: Artist Development","$3,200.00","30-MAY-2012","26-MAR-2012","QLD","AUSTRALIA","BRISBANE"
"Ogle, Dana","","Music Section","Skills & Arts Development: Artist Development","$10,000.00","30-MAY-2012","26-MAR-2012","WA","AUSTRALIA","STIRLING"
"Orava String Quartet","","Music Section","Skills & Arts Development: Artist Development","$5,000.00","30-MAY-2012","26-MAR-2012","NSW","AUSTRALIA","MACARTHUR"
"Ride, Krystl","","Music Section","Skills & Arts Development: Artist Development","$5,000.00","30-MAY-2012","26-MAR-2012","","UK",""
"Robinson, Matthew Lee","","Music Section","Skills & Arts Development: Artist Development","$10,000.00","30-MAY-2012","26-MAR-2012","VIC","AUSTRALIA","MELBOURNE PORTS"
"Saady, Darren","","Music Section","Skills & Arts Development: Artist Development","$5,000.00","30-MAY-2012","26-MAR-2012","","GERMANY",""
"Veinberg, Anne","","Music Section","Skills & Arts Development: Artist Development","$932.00","30-MAY-2012","26-MAR-2012","NSW","AUSTRALIA","KINGSFORD SMITH"
"Vithanage, Lathika","","Music Section","Skills & Arts Development: Artist Development","$6,400.00","30-MAY-2012","26-MAR-2012","","SWITZERLAND",""
"Walsh, Dominic","","Music Section","Skills & Arts Development: Artist Development","$5,000.00","30-MAY-2012","26-MAR-2012","","UK",""
"Adelaide Youth Orchestras Incorporated","","Music Section","Skills & Arts Development: Sector Development","$20,000.00","30-MAY-2012","26-MAR-2012","SA","AUSTRALIA","ADELAIDE"
"Lion Mountain Studio","","Music Section","Skills & Arts Development: Sector Development","$10,000.00","30-MAY-2012","26-MAR-2012","NSW","AUSTRALIA","WENTWORTH"
"Sound Summit","","Music Section","Skills & Arts Development: Sector Development","$20,000.00","30-MAY-2012","26-MAR-2012","NSW","AUSTRALIA","SYDNEY"
"The Push Inc","","Music Section","Skills & Arts Development: Sector Development","$15,000.00","30-MAY-2012","26-MAR-2012","VIC","AUSTRALIA","WILLS"
"The WIRED Lab","","Music Section","Skills & Arts Development: Sector Development","$30,000.00","30-MAY-2012","26-MAR-2012","NSW","AUSTRALIA","RIVERINA"
"Australian Broadcasting Corporation (ABC)","","Arts Organisations Major Performing Arts","Digital engagement and research projects funding","$75,000.00","29-MAY-2012","30-JUN-2012","NSW","AUSTRALIA","SYDNEY"
"Music Outback Foundation","","Community Partnerships Section","Partnership Development","$5,000.00","29-MAY-2012","30-JUN-2012","NSW","AUSTRALIA","RICHMOND"
"BalletLab Association Inc","","Dance  Section","Dance and Music Initiative","$20,000.00","25-MAY-2012","09-MAR-2012","VIC","AUSTRALIA","MELBOURNE PORTS"
"Kage Physical Theatre Association Inc","","Dance  Section","Dance and Music Initiative","$20,000.00","25-MAY-2012","09-MAR-2012","VIC","AUSTRALIA","BATMAN"
"Lucy Guerin Association Inc","","Dance  Section","Dance and Music Initiative","$20,000.00","25-MAY-2012","09-MAR-2012","VIC","AUSTRALIA","MELBOURNE"
"Micich, Danielle","","Dance  Section","Dance and Music Initiative","$18,978.00","25-MAY-2012","09-MAR-2012","WA","AUSTRALIA","CURTIN"
"Orger, Cobie","","Dance  Section","Dance and Music Initiative","$20,000.00","25-MAY-2012","09-MAR-2012","VIC","AUSTRALIA","WILLS"
"Ricketson, Damien","","Dance  Section","Dance and Music Initiative","$20,000.00","25-MAY-2012","09-MAR-2012","NSW","AUSTRALIA","GRAYNDLER"
"Australian Catholic University (Mackillop Campus)","","Inter-Arts Office","Synapse Art/Science 2010","$75,000.00","25-MAY-2012","25-MAY-2012","NSW","AUSTRALIA","NORTH SYDNEY"
"Opera Australia","","Arts Organisations Major Performing Arts","Strength and  Sustainability Initiatives","$20,000.00","24-MAY-2012","01-JUN-2012","NSW","AUSTRALIA","SYDNEY"
"Brisbane Multicultural Arts Centre Inc","","Theatre  Section","Theatre Diversity Associate","$250,000.00","24-MAY-2012","24-MAY-2012","QLD","AUSTRALIA","GRIFFITH"
"Australian Children's Performing Arts Company t/a Windmill","Windmill Performing Arts","Arts Organisations Division","Theatre  International Status","$30,000.00","23-MAY-2012","30-JUN-2012","SA","AUSTRALIA","ADELAIDE"
"Performing Lines Limited","Performing Lines","Theatre  Section","MAPS New South Wales 2012-2014","$307,500.00","23-MAY-2012","23-MAY-2012","NSW","AUSTRALIA","SYDNEY"
"Brennan, Tammy","","Theatre  Section","NT+1 Fund","$6,900.00","22-MAY-2012","04-MAY-2012","NSW","AUSTRALIA","SYDNEY"
"graetz, ben","","Theatre  Section","NT+1 Fund","$6,540.00","22-MAY-2012","04-MAY-2012","NT","AUSTRALIA","SOLOMON"
"Hubbard, Lynette","","Theatre  Section","NT+1 Fund","$7,000.00","22-MAY-2012","04-MAY-2012","NT","AUSTRALIA","SOLOMON"
"Thibodeaux, Sandra","","Theatre  Section","NT+1 Fund","$7,000.00","22-MAY-2012","04-MAY-2012","NT","AUSTRALIA","LINGIARI"
"Wyvill, Kate","","Theatre  Section","NT+1 Fund","$6,953.00","22-MAY-2012","04-MAY-2012","NT","AUSTRALIA","SOLOMON"
"Curious Works","CuriousWorks","Community Partnerships Section","Partnership Development","$5,000.00","17-MAY-2012","30-JUN-2012","NSW","AUSTRALIA","WERRIWA"
"Broken Hill Art Exchange Inc","","Inter-Arts Office","Indigenous New Media Arts","$30,000.00","15-MAY-2012","10-APR-2012","NSW","AUSTRALIA","PARKES"
"Fraser, Jennifer","","Inter-Arts Office","Indigenous New Media Arts","$30,000.00","15-MAY-2012","10-APR-2012","QLD","AUSTRALIA","BRISBANE"
